θ  theta
π  pi
Σ  summation
√  square_root
∞  infinity
∆  delta
∫  integral
≈  approximately_equal
≠  not_equal
≤  less_than_or_equal
≥  greater_than_or_equal
→  arrow_right
←  arrow_left
↔  arrow_both
×  multiply
÷  divide
⊕  direct_sum
⊗  tensor_product
∂  partial_derivative
∇  nabla
∛  cube_root
∜  fourth_root
∬  double_integral
∭  triple_integral
∮  contour_integral
∯  surface_integral
∰  volume_integral
∱  clockwise_integral
∲  clockwise_contour_integral
∳  anticlockwise_contour_integral
∀  for_all
∁  complement
∃  there_exists
∄  there_does_not_exist
∅  empty_set
∈  element_of
∉  not_an_element_of
∊  small_element_of
∋  contains_as_member
∌  does_not_contain_as_member
∍  small_contains_as_member
∏  n_ary_product
∐  n_ary_coproduct
∑  n_ary_summation
−  minus_sign
∓  minus_or_plus_sign
∔  dot_plus
∕  division_slash
∖  set_minus
∗  asterisk_operator
∘  ring_operator
∙  bullet_operator
∝  proportional_to
∟  right_angle
∠  angle
∡  measured_angle
∢  spherical_angle
∣  divides
∤  does_not_divide
∥  parallel_to
∦  not_parallel_to
∧  logical_and
∨  logical_or
∩  intersection
∪  union
∴  therefore
∵  because
∶  ratio
∷  proportion
∸  dot_minus
∹  excess
∺  geometric_proportion
∻  homothetic
∼  tilde_operator
∽  reversed_tilde
∾  inverted_lazy_s
∿  sine_wave
≀  wreath_product
≁  not_tilde
≂  minus_tilde
≃  asymptotically_equal_to
≄  not_asymptotically_equal_to
≅  approximately_equal_to
≆  approximately_but_not_actually_equal_to
≇  neither_approximately_nor_actually_equal_to
≊  almost_equal_or_equal_to
≋  triple_tilde
≌  all_equal_to
≍  equivalent_to
≎  geometrically_equivalent_to
≏  difference_between
≐  approaches_the_limit
≑  geometrically_equal_to
≒  approximately_equal_to_or_the_image_of
≓  image_of_or_approximately_equal_to
≔  colon_equals
≕  equals_colon
≖  ring_in_equal_to
≗  ring_equal_to
≘  corresponds_to
≙  estimates
≚  equiangular_to
≛  star_equals
≜  delta_equal_to
≝  equal_to_by_definition
≞  measured_by
≟  questioned_equal_to
≡  identical_to
≢  not_identical_to
≣  strictly_equivalent_to
≦  less_than_over_equal_to
≧  greater_than_over_equal_to
≨  less_than_but_not_equal_to
≩  greater_than_but_not_equal_to
≪  much_less_than
≫  much_greater_than
≬  between
≭  not_equivalent_to
≮  not_less_than
≯  not_greater_than
≰  neither_less_than_nor_equal_to
≱  neither_greater_than_nor_equal_to
≲  less_than_or_equivalent_to
≳  greater_than_or_equivalent_to
≴  neither_less_than_nor_equivalent_to
≵  neither_greater_than_nor_equivalent_to
≶  less_than_or_greater_than
≷  greater_than_or_less_than
≸  neither_less_than_nor_greater_than
≹  neither_greater_than_nor_less_than
≺  precedes
≻  succeeds
≼  precedes_or_equal_to
≽  succeeds_or_equal_to
≾  precedes_or_equivalent_to
≿  succeeds_or_equivalent_to
⊀  does_not_precede
⊁  does_not_succeed
⊂  subset_of
⊃  superset_of
⊄  not_a_subset_of
⊅  not_a_superset_of
⊆  subset_of_or_equal_to
⊇  superset_of_or_equal_to
⊈  neither_a_subset_of_nor_equal_to
⊉  neither_a_superset_of_nor_equal_to
⊊  subset_of_with_not_equal_to
⊋  superset_of_with_not_equal_to
⊌  multiset
⊍  multiset_multiplication
⊎  multiset_union
⊏  square_image_of
⊐  square_original_of
⊑  square_image_of_or_equal_to
⊒  square_original_of_or_equal_to
⊓  square_cap
⊔  square_cup
⊖  circled_minus
⊘  circled_division_slash
⊙  circled_dot_operator
⊚  circled_ring_operator
⊛  circled_asterisk_operator
⊜  circled_equals
⊝  circled_dash
⊞  squared_plus
⊟  squared_minus
⊠  squared_times
⊡  squared_dot_operator
⊢  right_tack
⊣  left_tack
⊤  down_tack
⊥  up_tack
⊦  assertion
⊧  models
⊨  true
⊩  forces
⊪  triple_vertical_bar_right_turnstile
⊫  double_vertical_bar_double_right_turnstile
⊬  does_not_prove
⊭  not_true
⊮  does_not_force
⊯  negated_double_vertical_bar_double_right_turnstile
⊰  precedes_under_relation
⊱  succeeds_under_relation
⊲  normal_subgroup_of
⊳  contains_as_normal_subgroup
⊴  normal_subgroup_of_or_equal_to
⊵  contains_as_normal_subgroup_or_equal_to
⊶  original_of
⊷  image_of
⊸  multimap
⊹  hermitian_conjugate_matrix
⊺  intercalate
⊻  xor
⊼  nand
⊽  nor
⊾  right_angle_with_arc
⊿  right_triangle
⋀  n_ary_logical_and
⋁  n_ary_logical_or
⋂  n_ary_intersection
⋃  n_ary_union
⋄  diamond_operator
⋅  dot_operator
⋆  star_operator
⋇  division_times
⋈  bowtie
⋉  left_normal_factor_semidirect_product
⋊  right_normal_factor_semidirect_product
⋋  left_semidirect_product
⋌  right_semidirect_product
⋍  reversed_tilde_equals
⋎  curly_logical_or
⋏  curly_logical_and
⋐  double_subset
⋑  double_superset
⋒  double_intersection
⋓  double_union
⋔  pitchfork
⋕  equal_and_parallel_to
⋖  less_than_with_dot
⋗  greater_than_with_dot
⋘  very_much_less_than
⋙  very_much_greater_than
⋚  less_than_equal_to_or_greater_than
⋛  greater_than_equal_to_or_less_than
⋜  equal_to_or_less_than
⋝  equal_to_or_greater_than
⋞  equal_to_or_precedes
⋟  equal_to_or_succeeds
⋠  does_not_precede_or_equal
⋡  does_not_succeed_or_equal
⋢  not_square_image_of_or_equal_to
⋣  not_square_original_of_or_equal_to
⋤  square_image_of_or_not_equal_to
⋥  square_original_of_or_not_equal_to
⋦  less_than_but_not_equivalent_to
⋧  greater_than_but_not_equivalent_to
⋨  precedes_but_not_equivalent_to
⋩  succeeds_but_not_equivalent_to
⋪  not_normal_subgroup_of
⋫  does_not_contain_as_normal_subgroup
⋬  not_normal_subgroup_of_or_equal_to
⋭  does_not_contain_as_normal_subgroup_or_equal
⋮  vertical_ellipsis
⋯  midline_horizontal_ellipsis
⋰  up_right_diagonal_ellipsis
⋱  down_right_diagonal_ellipsis
⁺  superscript_plus_sign
⁻  superscript_minus
⁼  superscript_equals_sign
⁽  superscript_left_parenthesis
⁾  superscript_right_parenthesis
ⁿ  superscript_latin_small_letter_n
₊  subscript_plus_sign
₋  subscript_minus
₌  subscript_equals_sign
₍  subscript_left_parenthesis
₎  subscript_right_parenthesis
✖  heavy_multiplication_x
﹢  small_plus_sign
﹣  small_hyphen_minus
＋  fullwidth_plus_sign
－  fullwidth_hyphen_minus
／  fullwidth_solidus
＝  fullwidth_equals_sign
∎  end_of_proof
